"School Year","Sector","Learning Network","School Level","Enrolled School ID","Enrolled School Name","Building Capacity","Other Programs on Site","Total Enrollment","Total Catchment Size","# Students Attending Neighborhood School","Enrollment:Catchment Ratio","% Staying in Catchment (of Catchment)","% From Within Neighborhood (of Enrollment)"
"2020-2021","District","Network 8","Elementary","8440","Loesche, William H. School","934","Y","881","909","793","0.97","87.24%","90.01%"
"2020-2021","Alternative","Opportunity","High","8450","YES Philly",,,"110","0","0",,,"0.00%"
"2020-2021","Alternative","Innovation","High","8460","Phila Learning Academy South","355","N","90","0","0",,,"0.00%"
"2020-2021","Alternative","Innovation","High","8470","Phila Learning Academy North","446","Y","60","0","0",,,"0.00%"
"2020-2021","Alternative","Innovation","High","8540","Pennypack House School",,,"40","0","0",,,"0.00%"
"2020-2021","District","Innovation","High","8560","The Workshop School","256","N","229","0","0",,,"0.00%"
"2020-2021","Alternative","Innovation","Middle-High","8690","Crossroads Accelerated Academy","894","Y","73","0","0",,,"0.00%"
"2020-2021","District","Network 8","Elementary-Middle","8770","Hancock Demonstration School","957","N","713","752","539","0.95","71.68%","75.60%"
"2020-2021","District","Innovation","Middle-High","8780","Philadelphia Virtual Academy",,,"637","0","0",,,"0.00%"
"2020-2021","Alternative","Opportunity","High","8860","One Bright Ray Mansion",,,"181","0","0",,,"0.00%"
"2020-2021","Alternative","Opportunity","High","8870","One Bright Ray Mansion Evening",,,"158","0","0",,,"0.00%"
"2020-2021","Alternative","Opportunity","High","8890","One Bright Ray - Simpson",,,"281","0","0",,,"0.00%"
"2020-2021","Non Public Special Education","Data is Private","Data is Private","Non Public Special Education","Non Public Special Education","Data is Private","Data is Private","Data is Private","Data is Private","Data is Private","Data is Private","Data is Private","Data is Private"
