SchoolYear,Sector,SubSector,ULCSCode,SchoolName,LearningNetwork,GradeLevel,StudentEnrollment,ELCount,ELPCT,NotELCount,NotELPCT,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,AmericanIndianCount,AmericanIndianPCT,AsianCount,AsianPCT,BlackAfricanAmericanCount,BlackAfricanAmericanPCT,HispanicCount,HispanicPCT,MultiRaceCount,MultiRacePCT,PacificIslanderCount,PacificIslanderPCT,WhiteCount,WhitePCT,CEPEconomicallyDisadvantagedRate
2021-2022,District,District,1260,Benjamin B. Comegys School,Network 12,08,45,1,2.22,44,97.78,5,11.11,40,88.89,26,57.78,19,42.22,0,0.00,0,0.00,43,95.56,2,4.44,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1260,Benjamin B. Comegys School,Network 12,All Grades,376,4,1.06,372,98.94,40,10.64,336,89.36,199,52.93,177,47.07,0,0.00,0,0.00,362,96.28,5,1.33,7,1.86,0,0.00,2,0.53,100.00
2021-2022,District,District,1280,Sadie Alexander School,Network 2,00,80,12,15.00,68,85.00,0,0.00,80,100.00,31,38.75,49,61.25,0,0.00,18,22.50,6,7.50,2,2.50,8,10.00,0,0.00,46,57.50,
2021-2022,District,District,1280,Sadie Alexander School,Network 2,01,76,11,14.47,65,85.53,6,7.89,70,92.11,37,48.68,39,51.32,0,0.00,23,30.26,6,7.89,2,2.63,11,14.47,0,0.00,34,44.74,
2021-2022,District,District,1280,Sadie Alexander School,Network 2,02,71,4,5.63,67,94.37,6,8.45,65,91.55,36,50.70,35,49.30,0,0.00,30,42.25,4,5.63,2,2.82,4,5.63,1,1.41,30,42.25,
2021-2022,District,District,1280,Sadie Alexander School,Network 2,03,70,4,5.71,66,94.29,6,8.57,64,91.43,39,55.71,31,44.29,0,0.00,11,15.71,9,12.86,3,4.29,8,11.43,0,0.00,39,55.71,
2021-2022,District,District,1280,Sadie Alexander School,Network 2,04,69,13,18.84,56,81.16,5,7.25,64,92.75,37,53.62,32,46.38,0,0.00,26,37.68,12,17.39,2,2.90,3,4.35,1,1.45,25,36.23,
2021-2022,District,District,1280,Sadie Alexander School,Network 2,05,58,9,15.52,49,84.48,2,3.45,56,96.55,27,46.55,31,53.45,0,0.00,13,22.41,8,13.79,5,8.62,7,12.07,0,0.00,25,43.10,
2021-2022,District,District,1280,Sadie Alexander School,Network 2,06,48,4,8.33,44,91.67,8,16.67,40,83.33,22,45.83,26,54.17,0,0.00,6,12.50,11,22.92,3,6.25,7,14.58,0,0.00,21,43.75,
2021-2022,District,District,1280,Sadie Alexander School,Network 2,07,56,3,5.36,53,94.64,6,10.71,50,89.29,28,50.00,28,50.00,0,0.00,11,19.64,13,23.21,4,7.14,8,14.29,1,1.79,19,33.93,
2021-2022,District,District,1280,Sadie Alexander School,Network 2,08,44,3,6.82,41,93.18,3,6.82,41,93.18,19,43.18,25,56.82,0,0.00,8,18.18,10,22.73,1,2.27,8,18.18,0,0.00,17,38.64,
2021-2022,District,District,1280,Sadie Alexander School,Network 2,All Grades,572,63,11.01,509,88.99,42,7.34,530,92.66,276,48.25,296,51.75,0,0.00,146,25.52,79,13.81,24,4.20,64,11.19,3,0.52,256,44.76,45.87
2021-2022,District,District,1290,Andrew Hamilton School,Network 2,00,29,2,6.90,27,93.10,0,0.00,29,100.00,14,48.28,15,51.72,0,0.00,0,0.00,29,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1290,Andrew Hamilton School,Network 2,01,27,0,0.00,27,100.00,1,3.70,26,96.30,12,44.44,15,55.56,0,0.00,0,0.00,23,85.19,3,11.11,1,3.70,0,0.00,0,0.00,
2021-2022,District,District,1290,Andrew Hamilton School,Network 2,02,26,0,0.00,26,100.00,2,7.69,24,92.31,14,53.85,12,46.15,0,0.00,0,0.00,26,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1290,Andrew Hamilton School,Network 2,03,38,0,0.00,38,100.00,5,13.16,33,86.84,17,44.74,21,55.26,0,0.00,0,0.00,37,97.37,1,2.63,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1290,Andrew Hamilton School,Network 2,04,26,0,0.00,26,100.00,4,15.38,22,84.62,12,46.15,14,53.85,0,0.00,0,0.00,25,96.15,1,3.85,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1290,Andrew Hamilton School,Network 2,05,40,1,2.50,39,97.50,13,32.50,27,67.50,14,35.00,26,65.00,0,0.00,0,0.00,39,97.50,1,2.50,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1290,Andrew Hamilton School,Network 2,06,50,0,0.00,50,100.00,18,36.00,32,64.00,23,46.00,27,54.00,0,0.00,0,0.00,47,94.00,2,4.00,1,2.00,0,0.00,0,0.00,
2021-2022,District,District,1290,Andrew Hamilton School,Network 2,07,48,0,0.00,48,100.00,14,29.17,34,70.83,21,43.75,27,56.25,0,0.00,0,0.00,46,95.83,1,2.08,1,2.08,0,0.00,0,0.00,
2021-2022,District,District,1290,Andrew Hamilton School,Network 2,08,59,2,3.39,57,96.61,14,23.73,45,76.27,27,45.76,32,54.24,1,1.69,1,1.69,51,86.44,4,6.78,2,3.39,0,0.00,0,0.00,
2021-2022,District,District,1290,Andrew Hamilton School,Network 2,All Grades,343,5,1.46,338,98.54,71,20.70,272,79.30,154,44.90,189,55.10,1,0.29,1,0.29,323,94.17,13,3.79,5,1.46,0,0.00,0,0.00,100.00
2021-2022,District,District,1300,Avery D. Harrington School,Network 12,00,43,1,2.33,42,97.67,2,4.65,41,95.35,18,41.86,25,58.14,0,0.00,1,2.33,40,93.02,0,0.00,1,2.33,0,0.00,1,2.33,
2021-2022,District,District,1300,Avery D. Harrington School,Network 12,01,31,1,3.23,30,96.77,6,19.35,25,80.65,11,35.48,20,64.52,0,0.00,0,0.00,28,90.32,2,6.45,1,3.23,0,0.00,0,0.00,
2021-2022,District,District,1300,Avery D. Harrington School,Network 12,02,30,0,0.00,30,100.00,5,16.67,25,83.33,13,43.33,17,56.67,0,0.00,0,0.00,27,90.00,0,0.00,2,6.67,0,0.00,1,3.33,
2021-2022,District,District,1300,Avery D. Harrington School,Network 12,03,45,0,0.00,45,100.00,8,17.78,37,82.22,19,42.22,26,57.78,0,0.00,0,0.00,44,97.78,1,2.22,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1300,Avery D. Harrington School,Network 12,04,47,0,0.00,47,100.00,6,12.77,41,87.23,23,48.94,24,51.06,0,0.00,0,0.00,47,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1300,Avery D. Harrington School,Network 12,05,38,0,0.00,38,100.00,11,28.95,27,71.05,15,39.47,23,60.53,0,0.00,0,0.00,36,94.74,2,5.26,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1300,Avery D. Harrington School,Network 12,06,42,0,0.00,42,100.00,9,21.43,33,78.57,17,40.48,25,59.52,0,0.00,0,0.00,40,95.24,1,2.38,0,0.00,0,0.00,1,2.38,
2021-2022,District,District,1300,Avery D. Harrington School,Network 12,07,36,0,0.00,36,100.00,12,33.33,24,66.67,16,44.44,20,55.56,0,0.00,0,0.00,34,94.44,0,0.00,2,5.56,0,0.00,0,0.00,
2021-2022,District,District,1300,Avery D. Harrington School,Network 12,08,39,0,0.00,39,100.00,11,28.21,28,71.79,17,43.59,22,56.41,0,0.00,0,0.00,37,94.87,0,0.00,1,2.56,0,0.00,1,2.56,
2021-2022,District,District,1300,Avery D. Harrington School,Network 12,All Grades,351,2,0.57,349,99.43,70,19.94,281,80.06,149,42.45,202,57.55,0,0.00,1,0.28,333,94.87,6,1.71,7,1.99,0,0.00,4,1.14,100.00
2021-2022,District,District,1340,Henry C. Lea School,Network 2,00,59,7,11.86,52,88.14,1,1.69,58,98.31,32,54.24,27,45.76,1,1.69,9,15.25,32,54.24,2,3.39,2,3.39,0,0.00,13,22.03,
2021-2022,District,District,1340,Henry C. Lea School,Network 2,01,45,3,6.67,42,93.33,2,4.44,43,95.56,21,46.67,24,53.33,0,0.00,3,6.67,24,53.33,4,8.89,3,6.67,0,0.00,11,24.44,
2021-2022,District,District,1340,Henry C. Lea School,Network 2,02,62,8,12.90,54,87.10,7,11.29,55,88.71,26,41.94,36,58.06,0,0.00,13,20.97,38,61.29,3,4.84,3,4.84,0,0.00,5,8.06,
2021-2022,District,District,1340,Henry C. Lea School,Network 2,03,56,9,16.07,47,83.93,8,14.29,48,85.71,26,46.43,30,53.57,0,0.00,10,17.86,35,62.50,1,1.79,0,0.00,0,0.00,10,17.86,
2021-2022,District,District,1340,Henry C. Lea School,Network 2,04,49,3,6.12,46,93.88,13,26.53,36,73.47,24,48.98,25,51.02,0,0.00,2,4.08,33,67.35,3,6.12,1,2.04,2,4.08,8,16.33,
2021-2022,District,District,1340,Henry C. Lea School,Network 2,05,36,4,11.11,32,88.89,8,22.22,28,77.78,16,44.44,20,55.56,0,0.00,4,11.11,24,66.67,1,2.78,2,5.56,0,0.00,5,13.89,
2021-2022,District,District,1340,Henry C. Lea School,Network 2,06,50,9,18.00,41,82.00,13,26.00,37,74.00,17,34.00,33,66.00,0,0.00,7,14.00,38,76.00,1,2.00,2,4.00,0,0.00,2,4.00,
2021-2022,District,District,1340,Henry C. Lea School,Network 2,07,36,8,22.22,28,77.78,6,16.67,30,83.33,13,36.11,23,63.89,0,0.00,2,5.56,25,69.44,4,11.11,3,8.33,0,0.00,2,5.56,
2021-2022,District,District,1340,Henry C. Lea School,Network 2,08,53,11,20.75,42,79.25,7,13.21,46,86.79,26,49.06,27,50.94,1,1.89,4,7.55,42,79.25,3,5.66,1,1.89,0,0.00,2,3.77,
2021-2022,District,District,1340,Henry C. Lea School,Network 2,All Grades,446,62,13.90,384,86.10,65,14.57,381,85.43,201,45.07,245,54.93,2,0.45,54,12.11,291,65.25,22,4.93,17,3.81,2,0.45,58,13.00,100.00
2021-2022,District,District,1350,William C. Longstreth School,Network 10,00,27,0,0.00,27,100.00,1,3.70,26,96.30,11,40.74,16,59.26,0,0.00,0,0.00,27,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1350,William C. Longstreth School,Network 10,01,27,1,3.70,26,96.30,5,18.52,22,81.48,13,48.15,14,51.85,0,0.00,0,0.00,24,88.89,2,7.41,1,3.70,0,0.00,0,0.00,
2021-2022,District,District,1350,William C. Longstreth School,Network 10,02,31,2,6.45,29,93.55,6,19.35,25,80.65,10,32.26,21,67.74,0,0.00,0,0.00,28,90.32,2,6.45,0,0.00,0,0.00,1,3.23,
2021-2022,District,District,1350,William C. Longstreth School,Network 10,03,38,0,0.00,38,100.00,3,7.89,35,92.11,24,63.16,14,36.84,0,0.00,0,0.00,36,94.74,2,5.26,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1350,William C. Longstreth School,Network 10,04,32,0,0.00,32,100.00,5,15.63,27,84.38,11,34.38,21,65.63,0,0.00,0,0.00,32,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1350,William C. Longstreth School,Network 10,05,21,1,4.76,20,95.24,7,33.33,14,66.67,9,42.86,12,57.14,0,0.00,0,0.00,21,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1350,William C. Longstreth School,Network 10,06,29,2,6.90,27,93.10,7,24.14,22,75.86,14,48.28,15,51.72,0,0.00,0,0.00,27,93.10,2,6.90,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1350,William C. Longstreth School,Network 10,07,32,1,3.13,31,96.88,13,40.63,19,59.38,17,53.13,15,46.88,0,0.00,0,0.00,30,93.75,2,6.25,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1350,William C. Longstreth School,Network 10,08,36,1,2.78,35,97.22,10,27.78,26,72.22,18,50.00,18,50.00,0,0.00,0,0.00,33,91.67,3,8.33,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1350,William C. Longstreth School,Network 10,All Grades,273,8,2.93,265,97.07,57,20.88,216,79.12,127,46.52,146,53.48,0,0.00,0,0.00,258,94.51,13,4.76,1,0.37,0,0.00,1,0.37,100.00
2021-2022,District,District,1360,Morton McMichael School,Network 5,00,29,0,0.00,29,100.00,0,0.00,29,100.00,15,51.72,14,48.28,0,0.00,0,0.00,24,82.76,2,6.90,3,10.34,0,0.00,0,0.00,
2021-2022,District,District,1360,Morton McMichael School,Network 5,01,19,0,0.00,19,100.00,4,21.05,15,78.95,11,57.89,8,42.11,0,0.00,0,0.00,16,84.21,2,10.53,0,0.00,0,0.00,1,5.26,
2021-2022,District,District,1360,Morton McMichael School,Network 5,02,28,0,0.00,28,100.00,6,21.43,22,78.57,11,39.29,17,60.71,0,0.00,0,0.00,28,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1360,Morton McMichael School,Network 5,03,35,1,2.86,34,97.14,11,31.43,24,68.57,17,48.57,18,51.43,0,0.00,0,0.00,34,97.14,0,0.00,1,2.86,0,0.00,0,0.00,
2021-2022,District,District,1360,Morton McMichael School,Network 5,04,35,0,0.00,35,100.00,17,48.57,18,51.43,11,31.43,24,68.57,0,0.00,0,0.00,33,94.29,1,2.86,0,0.00,0,0.00,1,2.86,
2021-2022,District,District,1360,Morton McMichael School,Network 5,05,29,0,0.00,29,100.00,6,20.69,23,79.31,15,51.72,14,48.28,0,0.00,0,0.00,27,93.10,0,0.00,1,3.45,0,0.00,1,3.45,
2021-2022,District,District,1360,Morton McMichael School,Network 5,06,44,0,0.00,44,100.00,20,45.45,24,54.55,26,59.09,18,40.91,0,0.00,0,0.00,41,93.18,0,0.00,2,4.55,0,0.00,1,2.27,
2021-2022,District,District,1360,Morton McMichael School,Network 5,07,32,0,0.00,32,100.00,13,40.63,19,59.38,14,43.75,18,56.25,0,0.00,0,0.00,31,96.88,1,3.13,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1360,Morton McMichael School,Network 5,08,38,0,0.00,38,100.00,14,36.84,24,63.16,21,55.26,17,44.74,0,0.00,0,0.00,36,94.74,1,2.63,1,2.63,0,0.00,0,0.00,
2021-2022,District,District,1360,Morton McMichael School,Network 5,All Grades,289,1,0.35,288,99.65,91,31.49,198,68.51,141,48.79,148,51.21,0,0.00,0,0.00,270,93.43,7,2.42,8,2.77,0,0.00,4,1.38,100.00
2021-2022,District,District,1370,S. Weir Mitchell School,Network 5,00,38,0,0.00,38,100.00,0,0.00,38,100.00,21,55.26,17,44.74,0,0.00,0,0.00,35,92.11,2,5.26,1,2.63,0,0.00,0,0.00,
2021-2022,District,District,1370,S. Weir Mitchell School,Network 5,01,40,1,2.50,39,97.50,2,5.00,38,95.00,18,45.00,22,55.00,0,0.00,0,0.00,39,97.50,1,2.50,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1370,S. Weir Mitchell School,Network 5,02,39,1,2.56,38,97.44,3,7.69,36,92.31,20,51.28,19,48.72,0,0.00,0,0.00,38,97.44,1,2.56,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1370,S. Weir Mitchell School,Network 5,03,52,0,0.00,52,100.00,12,23.08,40,76.92,25,48.08,27,51.92,0,0.00,0,0.00,48,92.31,2,3.85,2,3.85,0,0.00,0,0.00,
2021-2022,District,District,1370,S. Weir Mitchell School,Network 5,04,40,0,0.00,40,100.00,7,17.50,33,82.50,19,47.50,21,52.50,0,0.00,0,0.00,37,92.50,2,5.00,1,2.50,0,0.00,0,0.00,
2021-2022,District,District,1370,S. Weir Mitchell School,Network 5,05,38,1,2.63,37,97.37,8,21.05,30,78.95,20,52.63,18,47.37,0,0.00,0,0.00,35,92.11,2,5.26,1,2.63,0,0.00,0,0.00,
2021-2022,District,District,1370,S. Weir Mitchell School,Network 5,06,45,0,0.00,45,100.00,9,20.00,36,80.00,25,55.56,20,44.44,0,0.00,0,0.00,44,97.78,1,2.22,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1370,S. Weir Mitchell School,Network 5,07,47,0,0.00,47,100.00,5,10.64,42,89.36,23,48.94,24,51.06,0,0.00,0,0.00,44,93.62,1,2.13,2,4.26,0,0.00,0,0.00,
2021-2022,District,District,1370,S. Weir Mitchell School,Network 5,08,37,0,0.00,37,100.00,5,13.51,32,86.49,21,56.76,16,43.24,0,0.00,0,0.00,35,94.59,1,2.70,1,2.70,0,0.00,0,0.00,
2021-2022,District,District,1370,S. Weir Mitchell School,Network 5,All Grades,376,3,0.80,373,99.20,51,13.56,325,86.44,192,51.06,184,48.94,0,0.00,0,0.00,355,94.41,13,3.46,8,2.13,0,0.00,0,0.00,100.00
2021-2022,District,District,1380,Thomas G. Morton School,Network 11,00,60,6,10.00,54,90.00,0,0.00,60,100.00,30,50.00,30,50.00,0,0.00,0,0.00,56,93.33,3,5.00,1,1.67,0,0.00,0,0.00,
2021-2022,District,District,1380,Thomas G. Morton School,Network 11,01,70,7,10.00,63,90.00,6,8.57,64,91.43,37,52.86,33,47.14,1,1.43,5,7.14,52,74.29,9,12.86,1,1.43,0,0.00,2,2.86,
2021-2022,District,District,1380,Thomas G. Morton School,Network 11,02,73,9,12.33,64,87.67,14,19.18,59,80.82,36,49.32,37,50.68,0,0.00,2,2.74,62,84.93,5,6.85,1,1.37,0,0.00,3,4.11,
2021-2022,District,District,1380,Thomas G. Morton School,Network 11,03,79,9,11.39,70,88.61,12,15.19,67,84.81,44,55.70,35,44.30,0,0.00,2,2.53,71,89.87,3,3.80,0,0.00,0,0.00,3,3.80,
2021-2022,District,District,1380,Thomas G. Morton School,Network 11,04,69,8,11.59,61,88.41,10,14.49,59,85.51,29,42.03,40,57.97,0,0.00,5,7.25,60,86.96,4,5.80,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1380,Thomas G. Morton School,Network 11,05,70,10,14.29,60,85.71,11,15.71,59,84.29,26,37.14,44,62.86,0,0.00,1,1.43,63,90.00,1,1.43,3,4.29,0,0.00,2,2.86,
2021-2022,District,District,1380,Thomas G. Morton School,Network 11,All Grades,421,49,11.64,372,88.36,53,12.59,368,87.41,202,47.98,219,52.02,1,0.24,15,3.56,364,86.46,25,5.94,6,1.43,0,0.00,10,2.38,100.00
2021-2022,District,District,1390,Samuel Powel School,Network 2,00,58,0,0.00,58,100.00,0,0.00,58,100.00,26,44.83,32,55.17,0,0.00,0,0.00,29,50.00,3,5.17,3,5.17,0,0.00,23,39.66,
2021-2022,District,District,1390,Samuel Powel School,Network 2,01,44,2,4.55,42,95.45,5,11.36,39,88.64,24,54.55,20,45.45,0,0.00,2,4.55,25,56.82,3,6.82,1,2.27,0,0.00,13,29.55,
2021-2022,District,District,1390,Samuel Powel School,Network 2,02,42,0,0.00,42,100.00,6,14.29,36,85.71,19,45.24,23,54.76,0,0.00,3,7.14,28,66.67,2,4.76,0,0.00,0,0.00,9,21.43,
2021-2022,District,District,1390,Samuel Powel School,Network 2,03,49,0,0.00,49,100.00,9,18.37,40,81.63,27,55.10,22,44.90,0,0.00,4,8.16,39,79.59,1,2.04,0,0.00,0,0.00,5,10.20,
2021-2022,District,District,1390,Samuel Powel School,Network 2,04,50,1,2.00,49,98.00,15,30.00,35,70.00,27,54.00,23,46.00,0,0.00,5,10.00,40,80.00,2,4.00,0,0.00,0,0.00,3,6.00,
2021-2022,District,District,1390,Samuel Powel School,Network 2,All Grades,243,3,1.23,240,98.77,35,14.40,208,85.60,123,50.62,120,49.38,0,0.00,14,5.76,161,66.26,11,4.53,4,1.65,0,0.00,53,21.81,96.79
2021-2022,District,District,1400,John M. Patterson School,Network 10,00,54,2,3.70,52,96.30,0,0.00,54,100.00,21,38.89,33,61.11,0,0.00,6,11.11,42,77.78,2,3.70,4,7.41,0,0.00,0,0.00,
2021-2022,District,District,1400,John M. Patterson School,Network 10,01,76,12,15.79,64,84.21,5,6.58,71,93.42,37,48.68,39,51.32,1,1.32,3,3.95,61,80.26,9,11.84,1,1.32,0,0.00,1,1.32,
2021-2022,District,District,1400,John M. Patterson School,Network 10,02,73,5,6.85,68,93.15,10,13.70,63,86.30,30,41.10,43,58.90,0,0.00,4,5.48,64,87.67,1,1.37,1,1.37,0,0.00,3,4.11,
2021-2022,District,District,1400,John M. Patterson School,Network 10,03,75,9,12.00,66,88.00,5,6.67,70,93.33,32,42.67,43,57.33,0,0.00,4,5.33,63,84.00,7,9.33,0,0.00,0,0.00,1,1.33,
2021-2022,District,District,1400,John M. Patterson School,Network 10,04,86,10,11.63,76,88.37,7,8.14,79,91.86,51,59.30,35,40.70,0,0.00,6,6.98,70,81.40,8,9.30,1,1.16,0,0.00,1,1.16,
2021-2022,District,District,1400,John M. Patterson School,Network 10,All Grades,364,38,10.44,326,89.56,27,7.42,337,92.58,171,46.98,193,53.02,1,0.27,23,6.32,300,82.42,27,7.42,7,1.92,0,0.00,6,1.65,100.00
2021-2022,District,District,1410,James Rhoads School,Acceleration,00,46,0,0.00,46,100.00,1,2.17,45,97.83,19,41.30,27,58.70,0,0.00,0,0.00,42,91.30,1,2.17,2,4.35,0,0.00,1,2.17,
2021-2022,District,District,1410,James Rhoads School,Acceleration,01,40,0,0.00,40,100.00,2,5.00,38,95.00,19,47.50,21,52.50,0,0.00,0,0.00,37,92.50,1,2.50,2,5.00,0,0.00,0,0.00,
2021-2022,District,District,1410,James Rhoads School,Acceleration,02,53,0,0.00,53,100.00,9,16.98,44,83.02,26,49.06,27,50.94,0,0.00,0,0.00,49,92.45,4,7.55,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1410,James Rhoads School,Acceleration,03,51,0,0.00,51,100.00,12,23.53,39,76.47,24,47.06,27,52.94,0,0.00,0,0.00,46,90.20,4,7.84,1,1.96,0,0.00,0,0.00,
2021-2022,District,District,1410,James Rhoads School,Acceleration,04,47,0,0.00,47,100.00,9,19.15,38,80.85,20,42.55,27,57.45,0,0.00,0,0.00,45,95.74,2,4.26,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1410,James Rhoads School,Acceleration,05,58,0,0.00,58,100.00,15,25.86,43,74.14,31,53.45,27,46.55,0,0.00,0,0.00,57,98.28,0,0.00,1,1.72,0,0.00,0,0.00,
2021-2022,District,District,1410,James Rhoads School,Acceleration,06,52,0,0.00,52,100.00,8,15.38,44,84.62,26,50.00,26,50.00,0,0.00,0,0.00,50,96.15,1,1.92,1,1.92,0,0.00,0,0.00,
2021-2022,District,District,1410,James Rhoads School,Acceleration,07,43,0,0.00,43,100.00,9,20.93,34,79.07,16,37.21,27,62.79,0,0.00,0,0.00,41,95.35,1,2.33,1,2.33,0,0.00,0,0.00,
2021-2022,District,District,1410,James Rhoads School,Acceleration,08,29,0,0.00,29,100.00,5,17.24,24,82.76,16,55.17,13,44.83,0,0.00,0,0.00,24,82.76,3,10.34,2,6.90,0,0.00,0,0.00,
2021-2022,District,District,1410,James Rhoads School,Acceleration,All Grades,419,0,0.00,419,100.00,70,16.71,349,83.29,197,47.02,222,52.98,0,0.00,0,0.00,391,93.32,17,4.06,10,2.39,0,0.00,1,0.24,100.00
2021-2022,District,District,1420,Martha Washington School,Network 2,00,22,0,0.00,22,100.00,0,0.00,22,100.00,11,50.00,11,50.00,0,0.00,0,0.00,20,90.91,0,0.00,2,9.09,0,0.00,0,0.00,
2021-2022,District,District,1420,Martha Washington School,Network 2,01,14,0,0.00,14,100.00,2,14.29,12,85.71,6,42.86,8,57.14,0,0.00,0,0.00,12,85.71,1,7.14,1,7.14,0,0.00,0,0.00,
2021-2022,District,District,1420,Martha Washington School,Network 2,02,22,0,0.00,22,100.00,13,59.09,9,40.91,12,54.55,10,45.45,0,0.00,0,0.00,22,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1420,Martha Washington School,Network 2,03,25,0,0.00,25,100.00,11,44.00,14,56.00,6,24.00,19,76.00,0,0.00,0,0.00,25,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1420,Martha Washington School,Network 2,04,37,1,2.70,36,97.30,18,48.65,19,51.35,17,45.95,20,54.05,0,0.00,0,0.00,36,97.30,0,0.00,0,0.00,0,0.00,1,2.70,
2021-2022,District,District,1420,Martha Washington School,Network 2,05,33,1,3.03,32,96.97,12,36.36,21,63.64,17,51.52,16,48.48,0,0.00,1,3.03,28,84.85,1,3.03,3,9.09,0,0.00,0,0.00,
2021-2022,District,District,1420,Martha Washington School,Network 2,06,30,1,3.33,29,96.67,12,40.00,18,60.00,12,40.00,18,60.00,0,0.00,0,0.00,28,93.33,1,3.33,1,3.33,0,0.00,0,0.00,
2021-2022,District,District,1420,Martha Washington School,Network 2,07,32,0,0.00,32,100.00,11,34.38,21,65.63,13,40.63,19,59.38,0,0.00,0,0.00,29,90.63,1,3.13,2,6.25,0,0.00,0,0.00,
2021-2022,District,District,1420,Martha Washington School,Network 2,08,23,0,0.00,23,100.00,10,43.48,13,56.52,10,43.48,13,56.52,0,0.00,0,0.00,21,91.30,1,4.35,1,4.35,0,0.00,0,0.00,
2021-2022,District,District,1420,Martha Washington School,Network 2,All Grades,238,3,1.26,235,98.74,89,37.39,149,62.61,104,43.70,134,56.30,0,0.00,1,0.42,221,92.86,5,2.10,10,4.20,0,0.00,1,0.42,100.00
2021-2022,District,District,1440,Penrose School,Network 10,00,27,4,14.81,23,85.19,2,7.41,25,92.59,8,29.63,19,70.37,0,0.00,4,14.81,21,77.78,1,3.70,1,3.70,0,0.00,0,0.00,
2021-2022,District,District,1440,Penrose School,Network 10,01,41,7,17.07,34,82.93,4,9.76,37,90.24,13,31.71,28,68.29,0,0.00,1,2.44,35,85.37,2,4.88,2,4.88,0,0.00,1,2.44,
2021-2022,District,District,1440,Penrose School,Network 10,02,40,4,10.00,36,90.00,14,35.00,26,65.00,17,42.50,23,57.50,0,0.00,2,5.00,34,85.00,1,2.50,2,5.00,0,0.00,1,2.50,
2021-2022,District,District,1440,Penrose School,Network 10,03,39,7,17.95,32,82.05,8,20.51,31,79.49,18,46.15,21,53.85,1,2.56,3,7.69,29,74.36,4,10.26,0,0.00,0,0.00,2,5.13,
2021-2022,District,District,1440,Penrose School,Network 10,04,43,5,11.63,38,88.37,8,18.60,35,81.40,17,39.53,26,60.47,0,0.00,0,0.00,41,95.35,1,2.33,0,0.00,0,0.00,1,2.33,
2021-2022,District,District,1440,Penrose School,Network 10,05,56,8,14.29,48,85.71,17,30.36,39,69.64,20,35.71,36,64.29,0,0.00,2,3.57,48,85.71,3,5.36,3,5.36,0,0.00,0,0.00,
2021-2022,District,District,1440,Penrose School,Network 10,06,66,5,7.58,61,92.42,25,37.88,41,62.12,30,45.45,36,54.55,0,0.00,3,4.55,54,81.82,1,1.52,7,10.61,0,0.00,1,1.52,
2021-2022,District,District,1440,Penrose School,Network 10,07,51,2,3.92,49,96.08,18,35.29,33,64.71,23,45.10,28,54.90,0,0.00,1,1.96,44,86.27,2,3.92,3,5.88,0,0.00,1,1.96,
2021-2022,District,District,1440,Penrose School,Network 10,08,42,3,7.14,39,92.86,13,30.95,29,69.05,21,50.00,21,50.00,1,2.38,2,4.76,33,78.57,4,9.52,1,2.38,0,0.00,1,2.38,
2021-2022,District,District,1440,Penrose School,Network 10,All Grades,405,45,11.11,360,88.89,109,26.91,296,73.09,167,41.23,238,58.77,2,0.49,18,4.44,339,83.70,19,4.69,19,4.69,0,0.00,8,1.98,100.00
2021-2022,District,District,1460,Add B. Anderson School,Acceleration,00,40,3,7.50,37,92.50,0,0.00,40,100.00,24,60.00,16,40.00,0,0.00,0,0.00,40,100.00,0,0.00,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,1460,Add B. Anderson School,Acceleration,01,48,1,2.08,47,97.92,2,4.17,46,95.83,28,58.33,20,41.67,1,2.08,0,0.00,46,95.83,0,0.00,1,2.08,0,0.00,0,0.00,
