SchoolYear,Sector,SubSector,ULCSCode,SchoolName,LearningNetwork,GradeLevel,StudentEnrollment,ELCount,ELPCT,NotELCount,NotELPCT,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,AmericanIndianCount,AmericanIndianPCT,AsianCount,AsianPCT,BlackAfricanAmericanCount,BlackAfricanAmericanPCT,HispanicCount,HispanicPCT,MultiRaceCount,MultiRacePCT,PacificIslanderCount,PacificIslanderPCT,WhiteCount,WhitePCT,CEPEconomicallyDisadvantagedRate
2021-2022,District,District,7150,Juniata Park Academy,Network 5,07,121,29,23.97,92,76.03,14,11.57,107,88.43,56,46.28,65,53.72,0,0.00,11,9.09,9,7.44,89,73.55,5,4.13,0,0.00,7,5.79,
2021-2022,District,District,7150,Juniata Park Academy,Network 5,08,105,24,22.86,81,77.14,11,10.48,94,89.52,61,58.10,44,41.90,0,0.00,10,9.52,11,10.48,75,71.43,2,1.90,0,0.00,7,6.67,
2021-2022,District,District,7150,Juniata Park Academy,Network 5,All Grades,934,239,25.59,695,74.41,93,9.96,841,90.04,453,48.50,481,51.50,0,0.00,82,8.78,100,10.71,677,72.48,19,2.03,2,0.21,53,5.67,100.00
2021-2022,District,District,7200,Clara Barton School,Network 7,00,167,51,30.54,116,69.46,1,0.60,166,99.40,73,43.71,94,56.29,0,0.00,4,2.40,31,18.56,117,70.06,7,4.19,1,0.60,7,4.19,
2021-2022,District,District,7200,Clara Barton School,Network 7,01,163,59,36.20,104,63.80,18,11.04,145,88.96,70,42.94,93,57.06,0,0.00,5,3.07,33,20.25,115,70.55,5,3.07,0,0.00,5,3.07,
2021-2022,District,District,7200,Clara Barton School,Network 7,02,175,39,22.29,136,77.71,24,13.71,151,86.29,86,49.14,89,50.86,0,0.00,8,4.57,32,18.29,128,73.14,2,1.14,0,0.00,5,2.86,
2021-2022,District,District,7200,Clara Barton School,Network 7,All Grades,505,149,29.50,356,70.50,43,8.51,462,91.49,229,45.35,276,54.65,0,0.00,17,3.37,96,19.01,360,71.29,14,2.77,1,0.20,17,3.37,100.00
2021-2022,District,District,7220,Laura H. Carnell School,Network 9,00,116,12,10.34,104,89.66,1,0.86,115,99.14,60,51.72,56,48.28,0,0.00,1,0.86,62,53.45,37,31.90,2,1.72,1,0.86,8,6.90,
2021-2022,District,District,7220,Laura H. Carnell School,Network 9,01,102,29,28.43,73,71.57,4,3.92,98,96.08,42,41.18,60,58.82,2,1.96,4,3.92,53,51.96,36,35.29,3,2.94,0,0.00,4,3.92,
2021-2022,District,District,7220,Laura H. Carnell School,Network 9,02,125,30,24.00,95,76.00,7,5.60,118,94.40,58,46.40,67,53.60,0,0.00,7,5.60,64,51.20,50,40.00,0,0.00,1,0.80,3,2.40,
2021-2022,District,District,7220,Laura H. Carnell School,Network 9,03,109,25,22.94,84,77.06,10,9.17,99,90.83,54,49.54,55,50.46,0,0.00,6,5.50,60,55.05,31,28.44,1,0.92,0,0.00,11,10.09,
2021-2022,District,District,7220,Laura H. Carnell School,Network 9,04,122,32,26.23,90,73.77,11,9.02,111,90.98,60,49.18,62,50.82,0,0.00,5,4.10,67,54.92,43,35.25,1,0.82,0,0.00,6,4.92,
2021-2022,District,District,7220,Laura H. Carnell School,Network 9,05,125,29,23.20,96,76.80,31,24.80,94,75.20,53,42.40,72,57.60,0,0.00,6,4.80,71,56.80,41,32.80,3,2.40,0,0.00,4,3.20,
2021-2022,District,District,7220,Laura H. Carnell School,Network 9,All Grades,699,157,22.46,542,77.54,64,9.16,635,90.84,327,46.78,372,53.22,2,0.29,29,4.15,377,53.93,238,34.05,10,1.43,2,0.29,36,5.15,100.00
2021-2022,District,District,7260,Ellwood School,Network 7,00,36,0,0.00,36,100.00,1,2.78,35,97.22,19,52.78,17,47.22,1,2.78,0,0.00,32,88.89,1,2.78,0,0.00,0,0.00,2,5.56,
2021-2022,District,District,7260,Ellwood School,Network 7,01,51,0,0.00,51,100.00,4,7.84,47,92.16,22,43.14,29,56.86,0,0.00,0,0.00,46,90.20,2,3.92,1,1.96,0,0.00,2,3.92,
2021-2022,District,District,7260,Ellwood School,Network 7,02,41,0,0.00,41,100.00,6,14.63,35,85.37,21,51.22,20,48.78,0,0.00,0,0.00,36,87.80,1,2.44,4,9.76,0,0.00,0,0.00,
2021-2022,District,District,7260,Ellwood School,Network 7,03,53,0,0.00,53,100.00,9,16.98,44,83.02,23,43.40,30,56.60,0,0.00,3,5.66,47,88.68,2,3.77,1,1.89,0,0.00,0,0.00,
2021-2022,District,District,7260,Ellwood School,Network 7,04,34,1,2.94,33,97.06,7,20.59,27,79.41,17,50.00,17,50.00,0,0.00,1,2.94,31,91.18,2,5.88,0,0.00,0,0.00,0,0.00,
2021-2022,District,District,7260,Ellwood School,Network 7,05,32,0,0.00,32,100.00,4,12.50,28,87.50,18,56.25,14,43.75,0,0.00,0,0.00,30,93.75,1,3.13,1,3.13,0,0.00,0,0.00,
2021-2022,District,District,7260,Ellwood School,Network 7,All Grades,247,1,0.40,246,99.60,31,12.55,216,87.45,120,48.58,127,51.42,1,0.40,4,1.62,222,89.88,9,3.64,7,2.83,0,0.00,4,1.62,100.00
2021-2022,District,District,7270,Thomas K. Finletter School,Network 7,00,44,3,6.82,41,93.18,1,2.27,43,97.73,25,56.82,19,43.18,1,2.27,2,4.55,31,70.45,7,15.91,3,6.82,0,0.00,0,0.00,
2021-2022,District,District,7270,Thomas K. Finletter School,Network 7,01,46,0,0.00,46,100.00,8,17.39,38,82.61,26,56.52,20,43.48,0,0.00,4,8.70,33,71.74,7,15.22,2,4.35,0,0.00,0,0.00,
2021-2022,District,District,7270,Thomas K. Finletter School,Network 7,02,53,2,3.77,51,96.23,4,7.55,49,92.45,26,49.06,27,50.94,0,0.00,3,5.66,39,73.58,10,18.87,1,1.89,0,0.00,0,0.00,
